flow_duration,tot_pkts,pkt_len_mean,pkt_len_std,pkt_len_min,pkt_len_max,pkt_len_var,flow_iat_mean,flow_iat_std,flow_iat_min,flow_iat_max,label
5.474961042404175,406,147.5886699507389,82.9774779206583,66,285,6885.261842073335,0.0135184223269238,0.2008284776772901,0.0001349449157714,4.050017833709717,malicious
5.47458291053772,214,1897.803738317757,484.3481106832911,66,2026,234593.0923224736,0.025702267185623,0.2763945529108768,9.298324584960938e-05,4.049911975860596,malicious
0.895078182220459,203,145.4729064039409,80.63078294028074,66,245,6501.323157562668,0.0044310801100022,0.0019159525682818,0.0002779960632324,0.0115528106689453,malicious
0.8949499130249023,107,1897.803738317757,484.3481106832911,66,2026,234593.0923224736,0.008442923707782,0.0023963527695257,1.9073486328125e-06,0.0143640041351318,malicious
0.7553329467773438,190,166.72105263157894,100.66076996237553,66,404,10132.590609418285,0.0039964706178695,0.0015444212875049,0.0003139972686767,0.0089249610900878,malicious
0.7552371025085449,108,1703.6574074074074,664.2177822521354,66,2026,441185.2622599452,0.0070582906776499,0.0025175635867925,2.86102294921875e-06,0.0131430625915527,malicious
0.2792789936065674,72,145.18055555555554,81.40234885856401,66,256,6626.342399691358,0.0039335069522051,0.0017656878529713,0.0002789497375488,0.0087919235229492,malicious
0.2792298793792724,42,1660.642857142857,754.6709728158917,66,2026,569528.2772108844,0.006810484862909,0.00284100916665,2.1457672119140625e-06,0.0126199722290039,malicious
0.8357839584350586,203,148.03940886699507,83.43321817607819,66,281,6961.101895217063,0.0041375443486884,0.0018825771873425,0.0001971721649169,0.0100848674774169,malicious
0.8358328342437744,108,1880.8425925925928,513.0328875826838,66,2026,263202.7437414266,0.0078115218153623,0.0029875584170939,1.9073486328125e-06,0.0153470039367675,malicious
0.6291429996490479,202,159.1039603960396,99.21620597901192,66,469,9843.85552886972,0.0031300646748708,0.0015148352219029,0.000216007232666,0.0090980529785156,malicious
0.629115104675293,107,1883.9065420560748,501.499704768044,66,2026,251501.95388243525,0.005935048157314,0.0024270745647155,3.0994415283203125e-06,0.0119378566741943,malicious
0.2764990329742431,102,163.5,101.13044866438013,66,317,10227.367647058823,0.0027376141878637,0.0012887131152057,0.0002610683441162,0.0074880123138427,malicious
0.2764480113983154,62,1620.4354838709678,788.3902877621395,66,2026,621559.2458376691,0.0045319346130871,0.0023227704728448,0.0001449584960937,0.0122890472412109,malicious
0.6545209884643555,203,161.65024630541873,98.60185570370972,66,367,9722.325948215195,0.0032402029131898,0.0016045839112896,0.0002169609069824,0.0084230899810791,malicious
0.6544828414916992,107,1897.803738317757,484.3481106832911,66,2026,234593.0923224736,0.0061743664291669,0.0024405661813266,4.0531158447265625e-06,0.0135481357574462,malicious
0.2747418880462646,106,172.3679245283019,112.92060372115012,66,469,12751.06274474902,0.0026165894099644,0.0012505406057632,0.0002579689025878,0.0081350803375244,malicious
0.2746520042419433,60,1737.5833333333333,687.715330924714,66,2026,472952.3763888888,0.0046551187159651,0.0022414847761852,1.9073486328125e-06,0.0113961696624755,malicious
0.0014488697052001,5,120.4,104.8457915225976,66,330,10992.64,0.0003622174263,6.382282671809262e-05,0.0002968311309814,0.0004680156707763,malicious
0.0012500286102294,5,133.0,130.0369178348979,66,393,16909.6,0.0003125071525573,0.0002094323934434,9.5367431640625e-07,0.0005180835723876,malicious
0.2777628898620605,76,161.98684210526315,103.12568895094302,66,488,10634.90772160665,0.0037035051981608,0.0021125831050807,0.0001330375671386,0.0105969905853271,malicious
0.2777631282806396,44,1677.25,741.2370533899272,66,2026,549432.3693181818,0.0064596076344334,0.0034404345309762,9.5367431640625e-07,0.0138959884643554,malicious
0.0015270709991455,5,106.2,76.4628014134978,66,259,5846.560000000001,0.0003817677497863,0.000145865255863,0.0002529621124267,0.000615119934082,malicious
0.0011429786682128,5,133.0,130.0369178348979,66,393,16909.6,0.0002857446670532,0.0001999905933615,9.5367431640625e-07,0.0005269050598144,malicious
0.0013940334320068,5,106.6,77.26215114789389,66,261,5969.4400000000005,0.0003485083580017,0.0001155393721511,0.0001699924468994,0.0004911422729492,malicious
0.0012080669403076,5,133.0,130.0369178348979,66,393,16909.6,0.0003020167350769,0.0002322285922043,9.5367431640625e-07,0.0005910396575927,malicious
0.7005729675292969,203,175.19704433497537,307.9239727533245,66,4355,94817.17299619014,0.0034681830075707,0.0014814519640556,0.0003421306610107,0.0090429782867431,malicious
0.7004830837249756,108,1880.8425925925928,513.0328875826837,66,2026,263202.74374142656,0.0065465708759343,0.0024286412480021,0.0001099109649658,0.0134940147399902,malicious
0.7673311233520508,204,153.11274509803923,90.18473434096656,66,369,8133.286308150713,0.0037799562726702,0.0143398658313016,0.000154972076416,0.206921100616455,malicious
0.7680890560150146,107,1897.803738317757,484.3481106832911,66,2026,234593.0923224736,0.0072461231699529,0.0197043620257208,0.0004160404205322,0.208338975906372,malicious
0.6207308769226074,203,150.92610837438423,88.2245202231165,66,316,7783.565968599092,0.0030729251332802,0.0013251505440323,0.0001530647277832,0.0081169605255126,malicious
0.6206960678100586,108,1880.8425925925928,513.0328875826838,66,2026,263202.7437414266,0.0058008978300005,0.002418367371598,2.1457672119140625e-06,0.0149719715118408,malicious
0.7203271389007568,203,140.91625615763547,75.95492493865586,66,218,5769.150622436846,0.0035659759351522,0.001132534322831,0.0002250671386718,0.0076639652252197,malicious
0.7203068733215332,107,1897.803738317757,484.3481106832911,66,2026,234593.0923224736,0.0067953478615238,0.0020045673366105,0.0001149177551269,0.0127768516540527,malicious
0.7440061569213867,203,140.91625615763547,75.95492493865586,66,218,5769.150622436846,0.0036831987966405,0.0012289440931343,0.0002219676971435,0.0127439498901367,malicious
0.7439260482788086,107,1897.803738317757,484.3481106832911,66,2026,234593.0923224736,0.0070181702667812,0.0019693496731538,0.0001211166381835,0.0153429508209228,malicious
0.514369010925293,203,180.49261083743843,117.65422200351544,66,338,13842.515955252496,0.0025463812422044,0.0009487522838588,0.0002501010894775,0.0077309608459472,malicious
0.5142459869384766,107,1897.803738317757,484.3481106832911,66,2026,234593.0923224736,0.0048513772352686,0.0014670383125565,8.296966552734375e-05,0.010157823562622,malicious
0.7268710136413574,204,178.73529411764707,115.85474564150832,66,359,13422.322087658593,0.0035806453873958,0.0142561453500499,0.0001819133758544,0.2056789398193359,malicious
0.7269151210784912,109,1864.1926605504584,539.191826038965,66,2026,290727.8252672335,0.0067306955655415,0.0193651996053207,9.179115295410156e-05,0.2063372135162353,malicious
0.5236928462982178,203,171.68965517241378,107.6233042016006,66,321,11582.775607270258,0.0025925388430604,0.000986294202151,0.0002179145812988,0.0080530643463134,malicious
0.5233321189880371,107,1897.803738317757,484.3481106832911,66,2026,234593.0923224736,0.0049370954621512,0.0016230853275134,0.0001041889190673,0.0110700130462646,malicious
0.5378439426422119,203,188.94581280788177,125.98108396481663,66,356,15871.233516950184,0.0026625937754564,0.0010648862577235,0.0002431869506835,0.0075039863586425,malicious
0.5377941131591797,107,1897.803738317757,484.3481106832911,66,2026,234593.0923224736,0.0050735293694262,0.0018220128675886,1.9073486328125e-06,0.0109050273895263,malicious
0.4936420917510986,203,171.84729064039408,107.83741333291636,66,325,11628.907714334247,0.002443772731441,0.0008479624110385,0.0002229213714599,0.0067739486694335,malicious
0.4936270713806152,106,1915.0849056603768,452.6056661349303,66,2026,204851.889017444,0.0047012102036249,0.0014236838540164,0.0001001358032226,0.0103118419647216,malicious
0.5065279006958008,203,171.28571428571428,107.13500135404016,66,315,11477.908515130188,0.0025075638648306,0.0009810806217011,0.000220775604248,0.0097711086273193,malicious
0.5064680576324463,109,1864.1926605504584,539.191826038965,66,2026,290727.8252672335,0.0046895190521522,0.001678179940565,2.86102294921875e-06,0.0127441883087158,malicious
0.5045409202575684,203,177.0935960591133,113.5512996126359,66,341,12893.897643718608,0.0024977273280077,0.0009523825080902,0.0002238750457763,0.0075418949127197,malicious
0.5044338703155518,108,1880.8425925925928,513.0328875826838,66,2026,263202.7437414266,0.0047143352365939,0.0017254247352723,3.0994415283203125e-06,0.0109598636627197,malicious
0.5380902290344238,202,171.15841584158414,106.80589710730575,66,336,11407.499656896383,0.0026770658160916,0.0011902034013322,0.0002191066741943,0.0092608928680419,malicious
0.538017988204956,107,1884.0467289719627,501.12569324793714,66,2026,251126.9604332256,0.0050756413981599,0.0018132704562123,1.9073486328125e-06,0.0110621452331542,malicious
0.5045599937438965,203,171.87192118226602,108.09867481747536,66,341,11685.32349729428,0.0024978217512074,0.0009156537676556,0.0001208782196044,0.0073051452636718,malicious
0.5045640468597412,108,1880.8425925925928,513.0328875826838,66,2026,263202.7437414266,0.0047155518398106,0.0014823386787764,1.9073486328125e-06,0.0103180408477783,malicious
0.4883911609649658,203,168.67980295566502,104.4089672835732,66,304,10901.232449222258,0.002417778024579,0.0008251463777089,0.0002081394195556,0.0071780681610107,malicious
0.4882771968841553,107,1897.803738317757,484.3481106832911,66,2026,234593.0923224736,0.0046063886498505,0.0012286669428103,8.296966552734375e-05,0.0094621181488037,malicious
0.4999580383300781,203,169.8423645320197,105.60925647185036,66,313,11153.31505253707,0.0024750397937132,0.0006900665686641,0.0001800060272216,0.0061559677124023,malicious
0.499795913696289,107,1897.803738317757,484.3481106832911,66,2026,234593.0923224736,0.0047150557895876,0.0012818815180441,2.1457672119140625e-06,0.0093331336975097,malicious
